1941 - Counter Attack (Super Grafx) (J) [a]
1941 - Counter Attack (Super Grafx) (J)
1943 Kai (J)	1943改版(日)
21 Emon - Mezase Hotel Ou!! (J)	旅馆王(日)
Adventure Island (J)	神奇男孩(日)
Aero Blasters (J)	空战克星(日)
Aero Blasters (U)	空战克星(美)
After Burner II (J)	冲破火网２(日)
Air Zonk (U)	空中射击(美)
Aldynes (Super Grafx) (J)	霹雳风云(日)
Alien Crush (J)	异形弹珠台(日)
Alien Crush (U)	异形弹珠台(美)
Ankoku Densetsu (J)	暗黑传说(日)
Aoi Blink (J)	青色杜马(日)
Appare Gateball (J)	槌球大赛(日)
Armed Formation F (J)	F武装战机(日)
Artist Tool (J)	绘图工具(日)
Atomic Robo-Kid Special (J)	原子机械童(日)
AV Poker (J)	AV扑克(日)
Ballistix (J)	妖魔传(日)
Ballistix (U)	妖魔传(美)
Bari Bari Densetsu (J)	妖魔传(美)
Barunba (J)	宝伦大作战(日)
Batman (J)	蝙蝠侠(日)
Battle Ace (Super Grafx) (J)	空中火狐(日)
Battle Lode Runner (J)
Battle Royale (U)
Be Ball (J)	太极球(日)
Benkei Gaiden (J) [a]	牟庆外传(日)[a]
Benkei Gaiden (J)	牟庆外传(日)
Bikkuriman World (J) [a]
Bikkuriman World (J)
Blazing Lazers (U)	燃烧空战(美)
Blodia (J)	迷魂阵(日)
Bloody Wolf (U)	血狼(美)
Body Conquest II (J)	美女外传2(日)
Bomberman - Users Battle (J)	轰炸超人(日)
Bomberman (J)	轰炸超人(日)
Bomberman (U)	轰炸超人(美)
Bomberman '93 (J)	轰炸超人 '93(日)
Bomberman '93 (Special Version) (J)	轰炸超人 '93(日)
Bomberman '93 (U)	轰炸超人 '93(美)
Bomberman '94 (J)	轰炸超人 '94(日)
Bonk III - Bonk's Big Adventure (U)	PC原人大冒险(美)
Bonk's Adventure (U)	PC原人冒险记(美)
Bonk's Revenge (U)	PC原人复仇记(美)
Bouken Danshaku Don - The Lost Sunheart (J)	冒险男爵(日)
Boxyboy (U)	仓库番(美)
Bravoman (U)	超绝伦人(美)
Break In (J)	花式撞球(日)
Bubblegum Crash! - Knight Sabers 2034 (J)	吹波糖危机(日)
Bull Fight - Ring no Haja (J)	拳王争霸 (日)
Burning Angels (J)	燃烧天使(日)
Busou Keiji - Cyber Cross (J)	武装刑事(日)
[CD] Games Express CD Card (J)
Cadash (J)	卡达叙传说(日)
Cadash (U)	卡达叙传说(美)
Champion Wrestler (J)	疯狂摔角(日)
Champions Forever Boxing (U)	霸王拳击(美)
